outcome,horizon,beta,se,lower95,upper95,p_value_normal,n,significance
matched_total_deposits,0,0.47115605165263197,0.19570216552832229,0.08757980721712028,0.8547322960881436,0.016061468082834374,93,
matched_total_deposits,1,0.32578957202963743,0.27098100120730934,-0.20533319033668884,0.8569123343959637,0.22926287577256477,92,
matched_total_deposits,2,0.07889761678474655,0.14576615923193587,-0.20680405530984775,0.36459928887934084,0.5883273209946318,91,
matched_total_deposits,4,0.3609512504283823,0.15355620864429775,0.059981081485558696,0.6619214193712059,0.01874250590100046,89,
matched_total_deposits,8,0.28304272975652767,0.16930516583298633,-0.04879539527612553,0.6148808547891809,0.09456568515957953,85,
other_component_qoq,0,-0.5288439483473528,0.19570216552820435,-0.9124201927826334,-0.14526770391207228,0.006886372997302104,93,
other_component_qoq,1,0.22963053389274354,0.2738074037534488,-0.3070319774640161,0.7662930452495033,0.40166173659678295,92,
other_component_qoq,2,-0.06474228698062072,0.19103828413906931,-0.4391773238931966,0.3096927499319551,0.7346873812946713,91,
other_component_qoq,4,-0.1931409453319906,0.20924694271003946,-0.603264953043668,0.21698306237968673,0.355992219552848,89,
other_component_qoq,8,-0.10875720171216868,0.10973541820272567,-0.323838621389511,0.10632421796517363,0.3216437441392266,85,
