job_id,k_screened,factor_id,rank,feature_id,loading,explained_eigenvalue
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f1,1,q__bogz1fl704135005q_usb_loan_l__lag001,0.007167,51.977255
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f1,2,q__bogz1fl704141005q_usb_stloan_l__lag001,0.007151,51.977255
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f1,3,m__ipdcongd_ipdcongd__lag008,0.007144,51.977255
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f1,4,m__ipdcongd_ipdcongd__lag009,0.007125,51.977255
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f1,5,m__ipfinal_ipfinal__lag010,0.007064,51.977255
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f1,6,m__ipfinal_ipfinal__lag011,0.007063,51.977255
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f1,7,m__ipfinal_ipfinal__lag007,0.007059,51.977255
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f1,8,m__ipfinal_ipfinal__lag012,0.007059,51.977255
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f1,9,m__ipfinal_ipfinal__lag008,0.007058,51.977255
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f1,10,m__ipfinal_ipfinal__lag009,0.007055,51.977255
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f1,11,m__ipfinal_ipfinal__lag004,0.007054,51.977255
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f1,12,m__ipfinal_ipfinal__lag005,0.007052,51.977255
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f2,1,d__dgs5_dgs5__lag017,0.008495,19.779484
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f2,2,d__dgs5_dgs5__lag018,0.008488,19.779484
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f2,3,d__dgs5_dgs5__lag019,0.008487,19.779484
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f2,4,d__dgs5_dgs5__lag021,0.008487,19.779484
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f2,5,d__dgs5_dgs5__lag016,0.008478,19.779484
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f2,6,d__dgs5_dgs5__lag022,0.008476,19.779484
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f2,7,d__dgs5_dgs5__lag024,0.00847,19.779484
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f2,8,d__dgs5_dgs5__lag025,0.008459,19.779484
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f2,9,d__dgs5_dgs5__lag057,0.008458,19.779484
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f2,10,d__dgs5_dgs5__lag088,0.008444,19.779484
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f2,11,d__dgs5_dgs5__lag026,0.008436,19.779484
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f2,12,d__dgs5_dgs5__lag089,0.008433,19.779484
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f3,1,m__unrate_unrate__lag006,0.011911,12.1488
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f3,2,m__unrate_unrate__lag004,0.011867,12.1488
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f3,3,m__unrate_unrate__lag005,0.011861,12.1488
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f3,4,m__unrate_unrate__lag003,0.011574,12.1488
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f3,5,m__unrate_unrate__lag002,0.011499,12.1488
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f3,6,m__unrate_unrate__lag001,0.01146,12.1488
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f3,7,m__unrate_unrate__lag007,0.011295,12.1488
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f3,8,m__unrate_unrate__lag008,0.011154,12.1488
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f3,9,m__unrate_unrate__lag009,0.011036,12.1488
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f3,10,m__awotman_awotman__lag009,-0.009759,12.1488
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f3,11,m__awotman_awotman__lag008,-0.009666,12.1488
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f3,12,m__awotman_awotman__lag007,-0.009576,12.1488
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f4,1,q__bogz1fl713123030q_tga__lag002,0.015452,6.170164
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f4,2,q__bogz1fl713123030q_tga_z1__lag002,0.015452,6.170164
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f4,3,q__bogz1fl713123030q_tga__lag001,0.014957,6.170164
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f4,4,q__bogz1fl713123030q_tga_z1__lag001,0.014957,6.170164
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f4,5,q__bogz1fl313024000q_tres_oper_cash__lag002,0.014283,6.170164
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f4,6,q__bogz1fl313024000q_tres_oper_cash__lag001,0.01389,6.170164
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f4,7,m__baaffm_baaff__lag001,-0.01208,6.170164
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f4,8,m__unrate_unrate__lag001,-0.010568,6.170164
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f4,9,m__unrate_unrate__lag002,-0.010386,6.170164
baseline_tdc_lp_credit_spreads,100,dflmx_k100_f4,10,m__unrate_unrate__lag004,-0.010091,6.170164
