feature_id,base_series,frequency,lag,source_file,nonmissing_quarters,coverage_share
q__a024rc1q027sbea_cfc__lag001,a024rc1q027sbea_cfc,q,1,FRED_A024RC1Q027SBEA_cfc.csv,316,0.990596
q__a024rc1q027sbea_cfc__lag002,a024rc1q027sbea_cfc,q,2,FRED_A024RC1Q027SBEA_cfc.csv,315,0.987461
q__a024rc1q027sbea_cfc__lag003,a024rc1q027sbea_cfc,q,3,FRED_A024RC1Q027SBEA_cfc.csv,314,0.984326
q__a024rc1q027sbea_cfc__lag004,a024rc1q027sbea_cfc,q,4,FRED_A024RC1Q027SBEA_cfc.csv,313,0.981191
q__a024rc1q027sbea_cfc__lag005,a024rc1q027sbea_cfc,q,5,FRED_A024RC1Q027SBEA_cfc.csv,312,0.978056
q__a024rc1q027sbea_cfc__lag006,a024rc1q027sbea_cfc,q,6,FRED_A024RC1Q027SBEA_cfc.csv,311,0.974922
q__a024rc1q027sbea_cfc__lag007,a024rc1q027sbea_cfc,q,7,FRED_A024RC1Q027SBEA_cfc.csv,310,0.971787
q__a024rc1q027sbea_cfc__lag008,a024rc1q027sbea_cfc,q,8,FRED_A024RC1Q027SBEA_cfc.csv,309,0.968652
q__a091rc1q027sbea_gov_interest_payments__lag001,a091rc1q027sbea_gov_interest_payments,q,1,FRED_A091RC1Q027SBEA_Gov_Interest_Payments.csv,316,0.990596
q__a091rc1q027sbea_gov_interest_payments__lag002,a091rc1q027sbea_gov_interest_payments,q,2,FRED_A091RC1Q027SBEA_Gov_Interest_Payments.csv,315,0.987461
q__a091rc1q027sbea_gov_interest_payments__lag003,a091rc1q027sbea_gov_interest_payments,q,3,FRED_A091RC1Q027SBEA_Gov_Interest_Payments.csv,314,0.984326
q__a091rc1q027sbea_gov_interest_payments__lag004,a091rc1q027sbea_gov_interest_payments,q,4,FRED_A091RC1Q027SBEA_Gov_Interest_Payments.csv,313,0.981191
q__a091rc1q027sbea_gov_interest_payments__lag005,a091rc1q027sbea_gov_interest_payments,q,5,FRED_A091RC1Q027SBEA_Gov_Interest_Payments.csv,312,0.978056
q__a091rc1q027sbea_gov_interest_payments__lag006,a091rc1q027sbea_gov_interest_payments,q,6,FRED_A091RC1Q027SBEA_Gov_Interest_Payments.csv,311,0.974922
q__a091rc1q027sbea_gov_interest_payments__lag007,a091rc1q027sbea_gov_interest_payments,q,7,FRED_A091RC1Q027SBEA_Gov_Interest_Payments.csv,310,0.971787
q__a091rc1q027sbea_gov_interest_payments__lag008,a091rc1q027sbea_gov_interest_payments,q,8,FRED_A091RC1Q027SBEA_Gov_Interest_Payments.csv,309,0.968652
q__a091rc1q027sbea_fedgov_int__lag001,a091rc1q027sbea_fedgov_int,q,1,FRED_A091RC1Q027SBEA_fedgov_int.csv,316,0.990596
q__a091rc1q027sbea_fedgov_int__lag002,a091rc1q027sbea_fedgov_int,q,2,FRED_A091RC1Q027SBEA_fedgov_int.csv,315,0.987461
q__a091rc1q027sbea_fedgov_int__lag003,a091rc1q027sbea_fedgov_int,q,3,FRED_A091RC1Q027SBEA_fedgov_int.csv,314,0.984326
q__a091rc1q027sbea_fedgov_int__lag004,a091rc1q027sbea_fedgov_int,q,4,FRED_A091RC1Q027SBEA_fedgov_int.csv,313,0.981191
q__a091rc1q027sbea_fedgov_int__lag005,a091rc1q027sbea_fedgov_int,q,5,FRED_A091RC1Q027SBEA_fedgov_int.csv,312,0.978056
q__a091rc1q027sbea_fedgov_int__lag006,a091rc1q027sbea_fedgov_int,q,6,FRED_A091RC1Q027SBEA_fedgov_int.csv,311,0.974922
q__a091rc1q027sbea_fedgov_int__lag007,a091rc1q027sbea_fedgov_int,q,7,FRED_A091RC1Q027SBEA_fedgov_int.csv,310,0.971787
q__a091rc1q027sbea_fedgov_int__lag008,a091rc1q027sbea_fedgov_int,q,8,FRED_A091RC1Q027SBEA_fedgov_int.csv,309,0.968652
q__a4102c1q027sbea_gdi_wages__lag001,a4102c1q027sbea_gdi_wages,q,1,FRED_A4102C1Q027SBEA_gdi_wages.csv,316,0.990596
q__a4102c1q027sbea_gdi_wages__lag002,a4102c1q027sbea_gdi_wages,q,2,FRED_A4102C1Q027SBEA_gdi_wages.csv,315,0.987461
q__a4102c1q027sbea_gdi_wages__lag003,a4102c1q027sbea_gdi_wages,q,3,FRED_A4102C1Q027SBEA_gdi_wages.csv,314,0.984326
q__a4102c1q027sbea_gdi_wages__lag004,a4102c1q027sbea_gdi_wages,q,4,FRED_A4102C1Q027SBEA_gdi_wages.csv,313,0.981191
q__a4102c1q027sbea_gdi_wages__lag005,a4102c1q027sbea_gdi_wages,q,5,FRED_A4102C1Q027SBEA_gdi_wages.csv,312,0.978056
q__a4102c1q027sbea_gdi_wages__lag006,a4102c1q027sbea_gdi_wages,q,6,FRED_A4102C1Q027SBEA_gdi_wages.csv,311,0.974922
q__a4102c1q027sbea_gdi_wages__lag007,a4102c1q027sbea_gdi_wages,q,7,FRED_A4102C1Q027SBEA_gdi_wages.csv,310,0.971787
q__a4102c1q027sbea_gdi_wages__lag008,a4102c1q027sbea_gdi_wages,q,8,FRED_A4102C1Q027SBEA_gdi_wages.csv,309,0.968652
q__a457rc1q027sbea_netva_nfcb__lag001,a457rc1q027sbea_netva_nfcb,q,1,FRED_A457RC1Q027SBEA_netva_nfcb.csv,316,0.990596
q__a457rc1q027sbea_netva_nfcb__lag002,a457rc1q027sbea_netva_nfcb,q,2,FRED_A457RC1Q027SBEA_netva_nfcb.csv,315,0.987461
q__a457rc1q027sbea_netva_nfcb__lag003,a457rc1q027sbea_netva_nfcb,q,3,FRED_A457RC1Q027SBEA_netva_nfcb.csv,314,0.984326
q__a457rc1q027sbea_netva_nfcb__lag004,a457rc1q027sbea_netva_nfcb,q,4,FRED_A457RC1Q027SBEA_netva_nfcb.csv,313,0.981191
q__a457rc1q027sbea_netva_nfcb__lag005,a457rc1q027sbea_netva_nfcb,q,5,FRED_A457RC1Q027SBEA_netva_nfcb.csv,312,0.978056
q__a457rc1q027sbea_netva_nfcb__lag006,a457rc1q027sbea_netva_nfcb,q,6,FRED_A457RC1Q027SBEA_netva_nfcb.csv,311,0.974922
q__a457rc1q027sbea_netva_nfcb__lag007,a457rc1q027sbea_netva_nfcb,q,7,FRED_A457RC1Q027SBEA_netva_nfcb.csv,310,0.971787
q__a457rc1q027sbea_netva_nfcb__lag008,a457rc1q027sbea_netva_nfcb,q,8,FRED_A457RC1Q027SBEA_netva_nfcb.csv,309,0.968652
q__a464rc1q027sbea_nfcb_pbt__lag001,a464rc1q027sbea_nfcb_pbt,q,1,FRED_A464RC1Q027SBEA_nfcb_pbt.csv,316,0.990596
q__a464rc1q027sbea_nfcb_pbt__lag002,a464rc1q027sbea_nfcb_pbt,q,2,FRED_A464RC1Q027SBEA_nfcb_pbt.csv,315,0.987461
q__a464rc1q027sbea_nfcb_pbt__lag003,a464rc1q027sbea_nfcb_pbt,q,3,FRED_A464RC1Q027SBEA_nfcb_pbt.csv,314,0.984326
q__a464rc1q027sbea_nfcb_pbt__lag004,a464rc1q027sbea_nfcb_pbt,q,4,FRED_A464RC1Q027SBEA_nfcb_pbt.csv,313,0.981191
q__a464rc1q027sbea_nfcb_pbt__lag005,a464rc1q027sbea_nfcb_pbt,q,5,FRED_A464RC1Q027SBEA_nfcb_pbt.csv,312,0.978056
q__a464rc1q027sbea_nfcb_pbt__lag006,a464rc1q027sbea_nfcb_pbt,q,6,FRED_A464RC1Q027SBEA_nfcb_pbt.csv,311,0.974922
q__a464rc1q027sbea_nfcb_pbt__lag007,a464rc1q027sbea_nfcb_pbt,q,7,FRED_A464RC1Q027SBEA_nfcb_pbt.csv,310,0.971787
q__a464rc1q027sbea_nfcb_pbt__lag008,a464rc1q027sbea_nfcb_pbt,q,8,FRED_A464RC1Q027SBEA_nfcb_pbt.csv,309,0.968652
d__aaa10y_aaa10y__lag001,aaa10y_aaa10y,d,1,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag002,aaa10y_aaa10y,d,2,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag003,aaa10y_aaa10y,d,3,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag004,aaa10y_aaa10y,d,4,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag005,aaa10y_aaa10y,d,5,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag006,aaa10y_aaa10y,d,6,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag007,aaa10y_aaa10y,d,7,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag008,aaa10y_aaa10y,d,8,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag009,aaa10y_aaa10y,d,9,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag010,aaa10y_aaa10y,d,10,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag011,aaa10y_aaa10y,d,11,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag012,aaa10y_aaa10y,d,12,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag013,aaa10y_aaa10y,d,13,FRED_AAA10Y_AAA10Y.csv,173,0.54232
d__aaa10y_aaa10y__lag014,aaa10y_aaa10y,d,14,FRED_AAA10Y_AAA10Y.csv,173,0.54232
