job_id,rank,candidate_id,shock_id,state_id,is_current_instrument,rows_estimated,singular_rows,weak_rows,weak_row_share,min_observations,max_observations,min_first_stage_f,median_first_stage_f,max_first_stage_f,min_partial_r2,median_partial_r2,max_partial_r2,recommendation,beats_current_candidate,control_ids
tdc_lpiv_deposits_qra_ru_gap,1,iv_qra_bill_share_x_wamest_foreigners_short_share_l1,qra_bill_share,wamest_foreigners_short_share_l1,False,6,0,4,0.666667,10,12,0.268601,0.295852,17.297008,0.068869,0.082176,0.896357,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_bill_share,wamest_foreigners_short_share_l1"
tdc_lpiv_deposits_qra_ru_gap,2,iv_qra_net_bills_bn_x_wamest_foreigners_short_share_l1,qra_net_bills_bn,wamest_foreigners_short_share_l1,False,6,0,4,0.666667,10,12,0.000332,0.008166,216.315354,8.3e-05,0.002715,0.990839,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_net_bills_bn,wamest_foreigners_short_share_l1"
tdc_lpiv_deposits_qra_ru_gap,3,iv_qra_maturity_tilt_flow_x_wamest_foreigners_short_share_l1,qra_maturity_tilt_flow,wamest_foreigners_short_share_l1,False,6,0,4,0.666667,10,12,0.000698,0.006698,43.505638,0.000233,0.001672,0.956049,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_maturity_tilt_flow,wamest_foreigners_short_share_l1"
tdc_lpiv_deposits_qra_ru_gap,4,iv_qra_ati_baseline_bn_x_wamest_foreigners_short_share_l1,qra_ati_baseline_bn,wamest_foreigners_short_share_l1,False,6,0,4,0.666667,10,12,0.000698,0.006698,43.505638,0.000233,0.001672,0.956049,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_ati_baseline_bn,wamest_foreigners_short_share_l1"
tdc_lpiv_deposits_qra_ru_gap,5,iv_qra_maturity_tilt_flow_x_slrwatch_bank_funding_pressure_l1,qra_maturity_tilt_flow,slrwatch_bank_funding_pressure_l1,False,10,0,8,0.8,19,27,0.045296,0.059282,13.486226,0.00251,0.003475,0.550768,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_maturity_tilt_flow,slrwatch_bank_funding_pressure_l1"
tdc_lpiv_deposits_qra_ru_gap,6,iv_qra_ati_baseline_bn_x_slrwatch_bank_funding_pressure_l1,qra_ati_baseline_bn,slrwatch_bank_funding_pressure_l1,False,10,0,8,0.8,19,27,0.045296,0.059282,13.486226,0.00251,0.003475,0.550768,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_ati_baseline_bn,slrwatch_bank_funding_pressure_l1"
tdc_lpiv_deposits_qra_ru_gap,7,iv_qra_maturity_tilt_flow_x_tsyparty_private_minus_official_corr_l1,qra_maturity_tilt_flow,tsyparty_private_minus_official_corr_l1,False,10,0,10,1.0,60,68,2.511012,6.608022,8.727609,0.040169,0.102279,0.143717,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_maturity_tilt_flow,tsyparty_private_minus_official_corr_l1"
tdc_lpiv_deposits_qra_ru_gap,8,iv_qra_ati_baseline_bn_x_tsyparty_private_minus_official_corr_l1,qra_ati_baseline_bn,tsyparty_private_minus_official_corr_l1,False,10,0,10,1.0,60,68,2.511012,6.608022,8.727609,0.040169,0.102279,0.143717,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_ati_baseline_bn,tsyparty_private_minus_official_corr_l1"
tdc_lpiv_deposits_qra_ru_gap,9,iv_qra_maturity_tilt_flow_x_tsyparty_bank_absorption_share_l1,qra_maturity_tilt_flow,tsyparty_bank_absorption_share_l1,False,10,0,10,1.0,59,64,5.181914,5.415232,5.441829,0.084697,0.090034,0.095989,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_maturity_tilt_flow,tsyparty_bank_absorption_share_l1"
tdc_lpiv_deposits_qra_ru_gap,10,iv_qra_ati_baseline_bn_x_tsyparty_bank_absorption_share_l1,qra_ati_baseline_bn,tsyparty_bank_absorption_share_l1,False,10,0,10,1.0,59,64,5.181914,5.415232,5.441829,0.084697,0.090034,0.095989,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_ati_baseline_bn,tsyparty_bank_absorption_share_l1"
tdc_lpiv_deposits_qra_ru_gap,11,iv_qra_net_bills_bn_x_tsyparty_bank_absorption_share_l1,qra_net_bills_bn,tsyparty_bank_absorption_share_l1,False,10,0,10,1.0,59,64,4.513755,5.008054,5.139359,0.07714,0.085231,0.089944,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_net_bills_bn,tsyparty_bank_absorption_share_l1"
tdc_lpiv_deposits_qra_ru_gap,12,iv_qra_maturity_tilt_flow_x_tsyparty_bank_mmf_corr_l1,qra_maturity_tilt_flow,tsyparty_bank_mmf_corr_l1,False,10,0,10,1.0,60,68,3.823849,4.663284,5.091437,0.059913,0.074418,0.083342,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_maturity_tilt_flow,tsyparty_bank_mmf_corr_l1"
tdc_lpiv_deposits_qra_ru_gap,13,iv_qra_ati_baseline_bn_x_tsyparty_bank_mmf_corr_l1,qra_ati_baseline_bn,tsyparty_bank_mmf_corr_l1,False,10,0,10,1.0,60,68,3.823849,4.663284,5.091437,0.059913,0.074418,0.083342,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_ati_baseline_bn,tsyparty_bank_mmf_corr_l1"
tdc_lpiv_deposits_qra_ru_gap,14,iv_qra_net_bills_bn_x_tsyparty_private_minus_official_corr_l1,qra_net_bills_bn,tsyparty_private_minus_official_corr_l1,False,10,0,10,1.0,60,68,1.659126,4.359413,6.318817,0.026908,0.069908,0.10835,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_net_bills_bn,tsyparty_private_minus_official_corr_l1"
tdc_lpiv_deposits_qra_ru_gap,15,iv_qra_net_bills_bn_x_tsyparty_bank_mmf_corr_l1,qra_net_bills_bn,tsyparty_bank_mmf_corr_l1,False,10,0,10,1.0,60,68,3.288795,4.222671,4.585849,0.051965,0.067864,0.076891,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_net_bills_bn,tsyparty_bank_mmf_corr_l1"
tdc_lpiv_deposits_qra_ru_gap,16,iv_qra_bill_share_x_tsyparty_bank_absorption_share_l1,qra_bill_share,tsyparty_bank_absorption_share_l1,False,10,0,10,1.0,59,64,3.195674,3.528504,4.248391,0.055873,0.063544,0.071705,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_bill_share,tsyparty_bank_absorption_share_l1"
tdc_lpiv_deposits_qra_ru_gap,17,iv_qra_bill_share_x_coord_on_rrp_drain_state_l1,qra_bill_share,coord_on_rrp_drain_state_l1,False,10,0,10,1.0,59,67,1.939111,3.019418,3.359353,0.03182,0.050307,0.057563,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_bill_share,coord_on_rrp_drain_state_l1"
tdc_lpiv_deposits_qra_ru_gap,18,iv_qra_net_bills_bn_x_coord_liquidity_tightness_q_z_l1,qra_net_bills_bn,coord_liquidity_tightness_q_z_l1,False,10,0,10,1.0,60,68,0.590565,2.347501,4.697751,0.009747,0.043194,0.077396,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_net_bills_bn,coord_liquidity_tightness_q_z_l1"
tdc_lpiv_deposits_qra_ru_gap,19,iv_qra_net_bills_bn_x_coord_on_rrp_drain_state_l1,qra_net_bills_bn,coord_on_rrp_drain_state_l1,False,10,0,10,1.0,59,67,1.705551,2.305889,3.995086,0.028095,0.043258,0.067719,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_net_bills_bn,coord_on_rrp_drain_state_l1"
tdc_lpiv_deposits_qra_ru_gap,20,iv_qra_maturity_tilt_flow_x_coord_on_rrp_drain_state_l1,qra_maturity_tilt_flow,coord_on_rrp_drain_state_l1,False,10,0,10,1.0,59,67,1.507034,2.005551,3.619705,0.024907,0.033953,0.061749,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_maturity_tilt_flow,coord_on_rrp_drain_state_l1"
tdc_lpiv_deposits_qra_ru_gap,21,iv_qra_ati_baseline_bn_x_coord_on_rrp_drain_state_l1,qra_ati_baseline_bn,coord_on_rrp_drain_state_l1,False,10,0,10,1.0,59,67,1.507034,2.005551,3.619705,0.024907,0.033953,0.061749,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_ati_baseline_bn,coord_on_rrp_drain_state_l1"
tdc_lpiv_deposits_qra_ru_gap,22,iv_qra_bill_share_x_coord_on_rrp_share_q,qra_bill_share,coord_on_rrp_share_q,False,10,0,10,1.0,60,68,1.250233,1.864492,2.128903,0.020412,0.031145,0.03933,better_than_current_but_still_weak,True,"GDP,gdp_deflator,FEDFUNDS,TOTRESNS,qra_bill_share,coord_on_rrp_share_q"
