job_id,regime_id,rows_in_regime,control_ids_used,dropped_controls,rows_written,warning_rows,weak_instrument_rows,avg_abs_beta,avg_n
tdc_lpiv_deposits_qra_ru_gap,exclude_2008_2009,311,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;tsyparty_ru_gap_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,10,10,10,1.384205,57.6
tdc_lpiv_deposits_qra_ru_gap,exclude_2020,315,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;tsyparty_ru_gap_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,10,10,10,2.298704,57.6
tdc_lpiv_deposits_qra_ru_gap,coord_low_reserve_state_l1,15,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;tsyparty_ru_gap_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,0,0,0,,
tdc_lpiv_deposits_qra_ru_gap,coord_on_rrp_drain_state_l1__low,36,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;tsyparty_ru_gap_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,10,10,10,14.240961,25.0
tdc_lpiv_deposits_qra_ru_gap,coord_on_rrp_drain_state_l1__high,38,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;tsyparty_ru_gap_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,10,10,10,1.907313,33.0
tdc_lpiv_deposits_qra_ru_gap,tsyparty_bank_absorption_share_l1__low,145,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;tsyparty_ru_gap_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,10,10,10,1.949422,21.0
tdc_lpiv_deposits_qra_ru_gap,tsyparty_bank_absorption_share_l1__high,145,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;tsyparty_ru_gap_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,10,10,10,1.287135,37.0
tdc_lpiv_deposits_qra_ru_gap,tsyparty_bank_foreign_private_corr_l1__low,42,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;tsyparty_ru_gap_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,10,10,10,0.844808,34.4
tdc_lpiv_deposits_qra_ru_gap,tsyparty_bank_foreign_private_corr_l1__high,42,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;tsyparty_ru_gap_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,10,10,10,0.757282,25.0
tdc_lpiv_deposits_qra_ru_gap,slrwatch_bank_leverage_pressure_l1__low,13,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;tsyparty_ru_gap_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,0,0,0,,
tdc_lpiv_deposits_qra_ru_gap,slrwatch_bank_leverage_pressure_l1__high,14,GDP;gdp_deflator;FEDFUNDS;TOTRESNS;qra_maturity_tilt_flow;tsyparty_ru_gap_l1;dflmx_k200_f1;dflmx_k200_f2;dflmx_k200_f3;dflmx_k200_f4,,4,4,4,2.517185,13.5
