feature_id,coverage_share,abs_corr_treatment,abs_corr_outcome_max,screen_score
q__bogz1fl702050005q_usb_ffrrp__lag008,0.984326,0.295204,0.74054,1.01950961
q__psave_psave__lag002,0.987461,0.593486,0.438141,1.01869151
q__psave_psave__lag001,0.990596,0.563715,0.451923,1.00608653
q__bogz1fl573061143q_private_db_pension_ts__lag005,0.99373,0.181437,0.821314,0.99646434
q__bogz1fl573061143q_private_db_pension_ts__lag007,0.987461,0.131678,0.873266,0.99234311
q__bogz1fl573061143q_private_db_pension_ts__lag006,0.990596,0.152798,0.847491,0.99088195
q__bogz1fl702050005q_usb_ffrrp__lag007,0.987461,0.3015,0.701645,0.9905669
q__bogz1fl573061143q_private_db_pension_ts__lag008,0.984326,0.106863,0.88487,0.97618896
q__bogz1fl713061103q_fed_tsy__lag001,1.0,0.144331,0.829585,0.97391684
q__bogz1fl713061103q_fed_tsy_raw__lag001,1.0,0.144331,0.829585,0.97391684
q__bogz1fl713061103q_cb_tsy__lag001,1.0,0.144331,0.829585,0.97391684
q__bogz1fl573061143q_private_db_pension_ts__lag004,0.996865,0.203749,0.76754,0.96824421
q__tgdef_net_gov_sav__lag001,0.990596,0.579238,0.397405,0.96745762
q__bogz1fl673061103q_abs_issuers_ts__lag004,0.996865,0.178355,0.792019,0.9673322
q__bogz1fl673061103q_abs_issuers_ts__lag003,1.0,0.139586,0.816285,0.95587054
q__bogz1fl673061103q_abs_issuers_ts__lag002,1.0,0.099147,0.847463,0.9466096
q__bogz1fl313024000q_tres_oper_cash__lag002,1.0,0.55783,0.379862,0.9376919
q__bogz1fl713061103q_fed_tsy__lag002,1.0,0.103004,0.829809,0.93281313
q__bogz1fl713061103q_fed_tsy_raw__lag002,1.0,0.103004,0.829809,0.93281313
q__bogz1fl713061103q_cb_tsy__lag002,1.0,0.103004,0.829809,0.93281313
q__bogz1fl573061143q_private_db_pension_ts__lag003,1.0,0.225883,0.704191,0.93007448
q__bogz1fl673061103q_abs_issuers_ts__lag005,0.99373,0.198905,0.735602,0.92864767
q__bogz1fl712151003q_fed_repo__lag001,1.0,0.239237,0.68465,0.92388705
